Reference,Billing Supplier,Billing Supplier Acc. No,Bill Reference,Date,Amount,Payment Type
,TYRES 4U,"",hwat,2022-12-30 10:01:57 +1000,100.0,eft
,TYRES 4U,"",dr,2022-12-30 10:02:26 +1000,100.0,eft
,REPCO AUTO PARTS,"",3940337904,2022-12-23 00:00:00 +1000,287.65,other
,REMA TIP TOP AUSTRALIA PTY LTD,"",1899819,2022-12-23 00:00:00 +1000,61.92,other
,REMA TIP TOP AUSTRALIA PTY LTD,"",1899809,2022-12-23 00:00:00 +1000,2266.8,other
,BSC MOTION TECHNOLOGY,"",TW-420000258446,2022-12-23 00:00:00 +1000,479.0,other
,EXCLUSIVE TYRES,"",10862182,2022-12-23 00:00:00 +1000,1518.0,other
,TYRES 4U,"",ES922721,2023-01-31 00:00:00 +1000,1218.36,other
,ENIRGI POWER STORAGE PTY LTD,"",SI5117,2023-01-25 00:00:00 +1000,570.69,other
,TYRES 4U,"",ES922799,2023-01-31 00:00:00 +1000,2237.57,other
,TYRES 4U,"",ES922760,2023-01-31 00:00:00 +1000,1280.84,other
,TYRES 4U,"",ES922761,2023-01-31 00:00:00 +1000,1608.86,other
,TOP TYRES AUSTRAILIA PTY LTD,"",1607032,2022-12-01 18:43:18 +1000,277.2,eftpos
,REPCO AUTO PARTS,"",3940340706,2023-01-31 00:00:00 +1000,15.13,other
,TYRES 4U,"",ES921434,2023-02-28 00:00:00 +1000,1325.27,other
,TYRES 4U,"",ES921434,2024-05-08 18:45:14 +1000,1699.73,eft
,TYRES 4U,"",ES922482,2023-02-28 00:00:00 +1000,2116.71,other
,TYRES 4U,"",ES922838,2023-02-28 00:00:00 +1000,261.36,other
,TYRES 4U,"",ES921959,2023-02-28 00:00:00 +1000,1993.2,other
,TYRES 4U,"",ES922864,2023-02-28 00:00:00 +1000,574.86,other
,NETA TIRE SERVICE & SALES P/L,"",1709002,2022-12-23 00:00:00 +1000,1364.0,other
,NETA TIRE SERVICE & SALES P/L,"",1708980,2022-12-23 00:00:00 +1000,554.4,other
,TYRES 4U,"",SO500028,2023-02-28 00:00:00 +1000,407.0,other
,TYRES 4U,"",ES917947,2023-01-31 00:00:00 +1000,166.32,other
,TYRES 4U,"",ES918545,2023-01-31 00:00:00 +1000,1564.68,other
