Credit Note Number,Credit From Invoice,Customer,Special Account Number,Date,Description,Details,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Raised By,Tags,Created At,Tracking Category Names,Tracking Category Values,Finalized
CR2,51246,Stuart Golden Family Trust,,09/01/2023,30478 - 12-16.5 12PR TL Arm Ti200 R-4 Industrial Block,,509.0909,1.0,509.0909,50.9091,560.0,Y,30478,12-16.5 12PR TL Arm Ti200 R-4 Industrial Block,,,,,Troy,"",2023-01-09 17:38:41 +1000,"","",Y
CR2,51246,Stuart Golden Family Trust,,09/01/2023,5623080 - TR618A,,20.0,1.0,20.0,2.0,22.0,Y,5623080,TR618A,,,,,Troy,"",2023-01-09 17:38:41 +1000,"","",Y
CR2,51246,Stuart Golden Family Trust,,09/01/2023,EMS - Strip and Fit earthmover/tractor tyre,,60.0,1.0,60.0,6.0,66.0,Y,EMS,Earthmover Fit & Strip,,,,,Troy,"",2023-01-09 17:38:41 +1000,"","",Y
CRD3,51337,Rayners Haulage,,12/01/2023,35881 - 11R22.5 DOUBLE COIN RR99 148/145 ALL POSITION CRC,,370.0,5.0,1850.0,185.0,2035.0,Y,35881,11R22.5 RR99 148/145 ALL POSITION CRC  DOUBLE COIN,,,,,Troy,"",2023-01-12 12:37:21 +1000,"","",Y
CRD3,51337,Rayners Haulage,,12/01/2023,AR1581103 - 11R22.5 ARIVO ARA1 146/143M ALL PURPOSE,,335.45,1.0,335.45,33.545,368.995,Y,AR1581103,11R22.5 ARIVO ARA1 146/143M ALL PURPOSE ARIVO,,,,,Troy,"",2023-01-12 12:37:21 +1000,"","",Y
CRD3,51337,Rayners Haulage,,12/01/2023,SCRAPTT - Recycle Truck Tyres,,30.0,6.0,180.0,18.0,198.0,Y,SCRAPTT,Recycle Truck Tyres,,,,,Troy,"",2023-01-12 12:37:21 +1000,"","",Y
CRD3,51337,Rayners Haulage,,12/01/2023,TTR - Truck Tyre Repair,,66.95,1.0,66.95,6.695,73.645,Y,TTR,Truck Tyre Repair,,,,,Troy,"",2023-01-12 12:37:21 +1000,"","",Y
CRD3,51337,Rayners Haulage,,12/01/2023,Rounding to 5c,,0.01,1.0,0.01,0,0.01,N,,,,,,,Troy,"",2023-01-12 12:37:21 +1000,"","",Y
CRD5,51439,JUANDAH AGGREGATION TRUST,,24/01/2023,SCRAPTT - Recycle Truck Tyres,,30.0,1.0,30.0,3.0,33.0,Y,SCRAPTT,Recycle Truck Tyres,,,,,Troy,"",2023-01-24 15:00:39 +1000,"","",Y
CRD6,51460,HCB Solar,,24/01/2023,83112 - 25/10.00-12 BUSHMATE P350 RENIFORCED,,259.0909,1.0,259.0909,25.9091,285.0,Y,83112,25/10.00-12 BUSHMATE P350 RENIFORCED,,,,,Troy,"",2023-01-24 16:45:48 +1000,"","",N
CR7,51457,Brigodoon Cattle Co pty ltd,,25/01/2023,MF95E41L - MF 95E41 L BATTERY,,247.72,1.0,247.72,24.772,272.492,Y,MF95E41L,MF 95E41 L BATTERY,,,,,Troy,"",2023-01-25 07:23:40 +1000,"","",Y
CRD8,WAN51752,Scoffell,,21/02/2023,MF50B24L - MF 50B24L BATTERY,,140.0,1.0,140.0,14.0,154.0,Y,MF50B24L,MF 50B24L BATTERY,,,,,Troy,"",2023-02-21 13:17:08 +1000,"","",N
CR9,WAN51752,Scoffell,,21/02/2023,MF50B24L - MF 50B24L BATTERY,,140.0,1.0,140.0,14.0,154.0,Y,MF50B24L,MF 50B24L BATTERY,,,,,Troy,"",2023-02-21 13:19:15 +1000,"","",Y
