PO Number,PO Status,Supplier,Creditor,Date,Due Date,Description,Category,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Brand,Stock Name,Stock Barcode,Job Number
PO100004,paid,REPCO AUTO PARTS,,22/02/2024,,GV188 - Parts Cleaning Brush 2Pc,Consumables,10.36,1.0,10.36,1.036,11.4,Y,GV188,,Parts Cleaning Brush 2Pc,,
PO100004,paid,REPCO AUTO PARTS,,22/02/2024,,07781 - Fuel Can Red 05L,Consumables,17.5,1.0,17.5,1.75,19.25,Y,07781,,Fuel Can Red 05L,,
PO100005,processed,TOOWOOMBA TRUCK SPARES,,22/02/2024,,131973 - Potentiometer,Parts,184.09,1.0,184.09,18.409,202.5,Y,131973,,Potentiometer,,
PO100006,processed,YOKOHAMA TYRE AUST PTY LTD,,22/02/2024,,2857516G003 - LT285/75R16 126Q G003 MT - E4693,4WD Tyres,282.18,6.0,1693.08,169.308,1862.39,Y,2857516G003,Yokohama,LT285/75R16 126Q G003 MT - E4693,,
PO100007,processed,Western Truck Group,,23/02/2024,,1674083 - Cap Pressure,Parts,79.56,1.0,79.56,7.956,87.52,Y,1674083,volvo,Cap Pressure,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,21258220 - Upper Radiator Hose,Parts,224.14,1.0,224.14,22.414,246.55,Y,21258220,volvo,Upper Radiator Hose,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,85003290 - Exchange Radiator,Parts,2057.54,1.0,2057.54,205.754,2263.29,Y,85003290,volvo,Exchange Radiator,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,AMP24078864 - Volvo Coolant 20ltr,Parts,134.52,1.0,134.52,13.452,147.97,Y,AMP24078864,volvo,Volvo Coolant 20ltr,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,21347087 - Crankshaft Seal,Parts,173.51,1.0,173.51,17.351,190.86,Y,21347087,volvo,Crankshaft Seal,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,20995564 - Bearing Kit Cab Tilt,SUSPENSION,70.3,1.0,70.3,7.03,77.33,Y,20995564,volvo,Bearing Kit Cab Tilt,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,3092065 - Repair kit,SUSPENSION,312.88,1.0,312.88,31.288,344.17,Y,3092065,volvo,Repair kit,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,3198849 - Shock Absorber,SUSPENSION,220.85,1.0,220.85,22.085,242.94,Y,3198849,volvo,Shock Absorber,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,21111925 - Shock Asorber,SUSPENSION,221.85,1.0,221.85,22.185,244.04,Y,21111925,volvo,Shock Asorber,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,3944785 - Vent Filter F/Tank,Parts,95.4,1.0,95.40000000000001,9.540000000000001,104.94,Y,3944785,volvo,Vent Filter F/Tank,,54676
PO100007,processed,Western Truck Group,,23/02/2024,,21297917 - Lamp assembly,Parts,546.68,1.0,546.6799999999999,54.66799999999999,601.35,Y,21297917,volvo,Lamp assembly,,54676
PO100008,processed,REPCO Chinchilla,,23/02/2024,,RSK28C - FILTERS KIT [ISUZU],LV Filters and Kits,98.0,1.0,98.0,9.8,107.8,Y,RSK28C,,FILTERS KIT [ISUZU],,
PO100008,processed,REPCO Chinchilla,,23/02/2024,,Z547 - FILTER-OIL SPIN ON,Mechanical,13.75,1.0,13.75,1.375,15.13,Y,Z547,,FILTER-OIL SPIN ON,,
PO100008,processed,REPCO Chinchilla,,23/02/2024,,R2724P - FILTER-FUEL,Mechanical,28.13,2.0,56.26,5.626,61.89,Y,R2724P,,FILTER-FUEL,,
PO100008,processed,REPCO Chinchilla,,23/02/2024,,R2720P - FILTER-OIL,LV Filters and Kits,14.25,2.0,28.5,2.85,31.35,Y,R2720P,,FILTER-OIL,,
PO100009,paid,Western Truck Group,,26/02/2024,28/02/2024,AMP24078864 - Volvo Coolant 20ltr,Parts,141.6,3.0,424.8,42.48,467.28,Y,AMP24078864,volvo,Volvo Coolant 20ltr,,
PO100009,paid,Western Truck Group,,26/02/2024,28/02/2024,20430678 - Sealing Ring,Parts,33.77,1.0,33.77,3.377,37.15,Y,20430678,,Sealing Ring,,
PO100009,paid,Western Truck Group,,26/02/2024,28/02/2024,975697 - O-Ring,Parts,31.7,1.0,31.7,3.17,34.87,Y,975697,,O-Ring,,
PO100009,paid,Western Truck Group,,26/02/2024,28/02/2024,85023583 - Water Pump Unit,Parts,909.73,1.0,909.73,90.973,1000.7,Y,85023583,,Water Pump Unit,,
PO100009,paid,Western Truck Group,,26/02/2024,28/02/2024,1007197 - Surcharge water pump exchange,Parts,197.0,1.0,197.0,19.7,216.7,Y,1007197,,Surcharge water pump exchange,,
PO100012,paid,Western Truck Group,,27/02/2024,,23262062 - Expansion Tank,Parts,482.02,1.0,482.02,48.202,530.22,Y,23262062,,Expansion Tank,,
PO100016,paid,Western Truck Group,,28/02/2024,01/03/2024,5224073047 - Bowl,Parts,327.12,1.0,327.12,32.712,359.83,Y,5224073047,,Bowl,,54710
PO100017,paid,EXCLUSIVE TYRES,,28/02/2024,,rt2656517 - 2656517TerrafirmaRuggedTerrain120/117s,4WD Tyres,174.7,8.0,1397.6,139.76,1537.36,Y,rt2656517,TerraFirma,2656517TerrafirmaRuggedTerrain120/117s,,54712
PO100018,paid,REPCO Chinchilla,,28/02/2024,,97114 - Oil seal,Parts,21.25,1.0,21.25,2.125,23.38,Y,97114,,Oil seal,,54718
PO100018,paid,REPCO Chinchilla,,28/02/2024,,98223 - Oil seal,Parts,14.0,2.0,28.0,2.8,30.8,Y,98223,,Oil seal,,54718
PO100019,paid,TOOWOOMBA TRUCK SPARES,,29/02/2024,03/03/2024,24X18P - Mud Flap 24x18 Plain White,Parts,21.63,2.0,43.26,4.326,47.59,Y,24X18P,,Mud Flap 24x18 Plain White,,54699
PO100019,paid,TOOWOOMBA TRUCK SPARES,,29/02/2024,03/03/2024,RM615B-A - REAR MARKER RH 600X150MM ALUM,Mechanical Consumables,18.85,1.0,18.85,1.885,20.74,Y,RM615B-A,,REAR MARKER RH 600X150MM ALUM,,54699
PO100020,paid,process systems,,01/03/2024,,BFD580-SR-E - Watermark 80mm Ductile Iron Wafer Butterfly Valve 16 Bar Spring Close Pneumatic EPDME,Parts,260.0,2.0,520.0,52.0,572.0,Y,BFD580-SR-E,,Watermark 80mm Ductile Iron Wafer Butterfly Valve 16 Bar Spring Close Pneumatic EPDME,,
PO100020,paid,process systems,,01/03/2024,,BFD680-SR-E - 80mm Cast Iron Wafer Butterfly Valve 16 Bar Spring Open Pneumatic EPDME,Parts,260.0,1.0,260.0,26.0,286.0,Y,BFD680-SR-E,,80mm Cast Iron Wafer Butterfly Valve 16 Bar Spring Open Pneumatic EPDME,,
PO100020,paid,process systems,,01/03/2024,,FREIGHT - Freight,,45.0,1.0,45.0,4.5,49.5,Y,FREIGHT,,Freight,,
PO100021,processed,HASTINGS DEERING,,04/03/2024,,3036658 - Filter,Parts,64.16,1.0,64.16,6.416,70.58,Y,3036658,Cat,Filter,,
PO100021,processed,HASTINGS DEERING,,04/03/2024,,2318133 - Panel Filter,Parts,75.08,0.0,0.0,0.0,0.0,Y,2318133,cat,Panel Filter,,
PO100021,processed,HASTINGS DEERING,,04/03/2024,,1106326 - MAIN ELEMENT,Service Parts & Kits,59.59,1.0,59.59,5.959,65.55,Y,1106326,CAT,MAIN ELEMENT,,
