Quote Number,Job Type Number,Customer,Email,Vehicle Registration Number,Vehicle Fleet Number,Vehicle Make,Vehicle Model,Issue Date,Due Date,Description,Category,Details,Unit Price,Quantity,Discount Percentage,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Stock Category,Unit Cost,COGS,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Salesperson,Created At,Updated At
10000,,Mckechnie Earthmoving,accounts@mckearthmoving.com.au,,,,,28/11/2022,,LAB - Tyre fitter labour charge per hour,Labour & Services,"",100.0,5.0,"",500.0,50.0,550.0,Y,LAB,Tyre Fitter Labour,Labour & Services,0.0,,,,,0.0,"",28/11/2022 13:29,28/11/2022 13:30
10000,,Mckechnie Earthmoving,accounts@mckearthmoving.com.au,,,,,28/11/2022,,COF - Call Out Fee,Labour & Services,"",110.0,1.0,"",110.0,11.0,121.0,Y,COF,Call Out Fee,Labour & Services,0.0,,,,,0.0,"",28/11/2022 13:29,28/11/2022 13:29
10000,,Mckechnie Earthmoving,accounts@mckearthmoving.com.au,,,,,28/11/2022,,EMS - Strip and Fit earthmover/tractor tyre,Labour & Services,"",200.0,1.0,"",200.0,20.0,220.0,Y,EMS,Earthmover Fit & Strip,Labour & Services,0.0,,,,,0.0,"",28/11/2022 13:31,28/11/2022 13:31
10002,,Western Downs Regional Council,"accounts@wdrc.qld.gov.au, brett.mcgrath@wdrc.qld.gov.au",,,,,01/12/2022,,1309BT - 11R22.5 BOTO BT159 148/145 K DEEP TREAD DRIVE,Truck Tyres,Delivered to Miles Depot,410.0,8.0,"",3280.0,328.0,3608.0,Y,1309BT,11R22.5 BT159 148/145 K DEEP TREAD DRIVE BOTO,Truck Tyres,379.0,,,,,3032.0,Troy Tompkins,01/12/2022 14:18,01/12/2022 14:18
10003,,SG Fleet Australia pty ltd,maintenance@sgfleet.com,678AN4,,Ford,Ranger,02/12/2022,,350723 - 265/70R16LT BFG TA MT KM3 121/118Q LRE,4WD Tyres,"",472.7273,4.0,"",1890.9092,189.0909,2080.0001,Y,350723,265/70R16LT T/A M/T KM3 121/118Q LRE BF GOODRICH,4WD Tyres,386.9,,,,,1547.6,"",02/12/2022 13:20,02/12/2022 13:21
10003,,SG Fleet Australia pty ltd,maintenance@sgfleet.com,678AN4,,Ford,Ranger,02/12/2022,,LVF - Light vehicle strip fit and balance,Labour & Services,Strip,16.5,4.0,"",66.0,6.6,72.6,Y,LVF,Light Vehicle Fit/ Strip/ Balance,Labour & Services,0.0,,,,,0.0,"",02/12/2022 13:25,02/12/2022 13:25
10003,,SG Fleet Australia pty ltd,maintenance@sgfleet.com,678AN4,,Ford,Ranger,02/12/2022,,SCRAP - Recycle charge,Labour & Services,"",9.4,4.0,"",37.6,3.76,41.36,Y,SCRAP,Recycle charge,Labour & Services,0.0,,,,,0.0,"",02/12/2022 13:25,02/12/2022 13:25
10004,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,RIG28,,,08/12/2022,,35657 - 275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,27570225,445.0,1.0,"",445.0,44.5,489.5,Y,35657,275/70 R22.5 GL283A ADVANCE ALL/P 144/141M,Truck Tyres,332.0,,,,,332.0,"",08/12/2022 06:00,08/12/2022 06:00
10004,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,RIG28,,,08/12/2022,,TFIT - Truck tyre fitting,Labour & Services,"",33.0,1.0,"",33.0,3.3,36.3,Y,TFIT,Truck Tyre Fit & Strip,Labour & Services,0.0,,,,,0.0,"",08/12/2022 06:02,08/12/2022 06:02
10004,,Ventia Eastern Well Services NO 2 pty ltd,"invoices@ventia.com,",,RIG28,,,08/12/2022,,704801 - 265/65R17LT BS D697 AT OWT 116S 4WD; A/T,4WD Tyres,"",383.0,5.0,"",1915.0,191.5,2106.5,Y,11000919,265/65R17LT 116S D697 OWT B/STONE,4WD Tyres,277.47,,,,,1387.35,"",08/12/2022 06:02,25/05/2023 08:38
