Credit Note Number,Credit Note Reference,Credit From Bill,Billing Supplier,Supplier,Supplier Acc. No,Date,Description,Quantity,Unit Price,Net Amount,Tax Amount,Total Amount,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Purchase Account Code,Purchase Account,Tags,Created At,Finalized
1,3940338040,3940337940,REPCO AUTO PARTS,REPCO AUTO PARTS,"",04/11/2022,EPLUSC3020 - P-ENVIRO+ C3 P&D FS 5W30 20L,2.0,198.51,397.02,39.702,436.72,EPLUSC3020,P-ENVIRO+ C3 P&D FS 5W30 20L,,,310,COS - Stock Purchases,"",2022-12-15 13:06:40 +1000,Y
2,3940338885,3940338856,REPCO AUTO PARTS,REPCO AUTO PARTS,"",14/11/2022,EPLUSC4010 - P-ENVIRO+ C4 DIESEL FS 5W30 10L,1.0,102.98,102.98,10.298,113.28,EPLUSC4010,P-ENVIRO+ C4 DIESEL FS 5W30 10L,,,310,COS - Stock Purchases,"",2022-12-15 13:08:40 +1000,Y
3,,SI5155,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",14/12/2022,MF64589R - MF64589R N120 BATTERY 930 CCA,2.0,183.21,366.42,36.642,403.06,MF64589R,MF64589R N120 BATTERY 930 CCA,,,310,COS - Stock Purchases,"",2022-12-19 13:43:02 +1000,Y
3,,SI5155,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",14/12/2022,U1MF-X - U1MF-X  12N24-4 BATTERY,3.0,53.37,160.11,16.011,176.12,U1MF-X,U1MF-X  12N24-4 BATTERY,,,310,COS - Stock Purchases,"",2022-12-19 13:43:02 +1000,Y
3,,SI5155,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",14/12/2022,MF105D31R - MF 105D31R  N70ZZ BATTERY 750 CCA,5.0,114.85,574.25,57.425,631.68,MF105D31R,MF105D31R  N70ZZ BATTERY 750 CCA,,,310,COS - Stock Purchases,"",2022-12-19 13:43:02 +1000,Y
3,,SI5155,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",14/12/2022,MF40B19LS - MF 40B19LS BATTERY,1.0,58.57,58.57,5.857,64.43,MF40B19LS,MF 40B19LS BATTERY,,,310,COS - Stock Purchases,"",2022-12-19 13:43:02 +1000,Y
3,,SI5155,ENIRGI POWER STORAGE PTY LTD,ENIRGI POWER STORAGE PTY LTD,"",14/12/2022,MF105D31L - MF 105D31L  N70ZZL BATTERY 750 CCA,2.0,114.85,229.7,22.97,252.67,MF105D31L,MF 105D31L  N70ZZL BATTERY 750 CCA,,,310,COS - Stock Purchases,"",2022-12-19 13:43:02 +1000,Y
4,EC043963,ES924477,TYRES 4U,TYRES 4U,"",22/12/2022,83125 - 18/8.50-8 8PR Bushmate P01A R-4 Industrial,3.0,94.0,282.0,28.2,310.2,83125,18/8.50-8 8PR Bushmate P01A R-4 Industrial,,,310,COS - Stock Purchases,"",2022-12-22 08:55:38 +1000,Y
5,EC043962,ES923246,TYRES 4U,TYRES 4U,"",22/12/2022,35549 - 295/80R22.5 DoubleCoin RR660 152/148L Regional Steer,2.0,497.25,994.5,99.45,1093.95,35549,295/80R22.5 DoubleCoin RR660 152/148L Regional Steer,,,310,COS - Stock Purchases,"",2022-12-22 08:58:26 +1000,Y
6,EC043972,VS451468,TYRES 4U,TYRES 4U,"",28/12/2022,FREIGHT - Freight,1.0,300.0,300.0,30.0,330.0,FREIGHT,Freight,,,305,COS - Freight & Courier,"",2023-01-03 09:45:54 +1000,Y
