Supplier Number,Name,Contact Name,Acc. No,ABN,Phone,Fax,Mobile,Email,Address,Suburb,State,Postcode,Country,Buying Group,Street Address,Street Address Suburb,Street Address State,Street Address Postcode,Note
1,T4U,,,,,,,,,,,,,,,,,,""
2,REPCO AUTO PARTS,,"",,746625111,746625520,"","",12 DRAYTON STREET,DALBY,QLD,4405,,,,,,,1800 641 939  CHARLIE 0411 256648                CHINCHILLA46627121
3,TRUCKLINE,,"",,738751100,738751686,"","",1743 IPSWICH ROAD,ROCKLEA,QLD,4106,,,,,,,TWB 46 345777
4,TYRES 4U,,"",,297999133,297993211,449255303,"",165-171 MILTON STREET P O BOX 1892,NORTH SYDNEY,NSW,2059,,,,,,,MURRAY 0408 063 285      BRIS-WEARHOUSE34378343
5,BIKELINE,,"",,46382242,"","","",16 BELL STREET,TOOWOOMBA,QLD,4350,,,,,,,""
6,BLACK TOYOTA,,"",,46689011,46628515,"",liam.turnbull@blacktoyota.com.au,115-117 CHINCHILLA ST,CHINCHILLA,QLD,4413,,,,,,,JASON 0429 110 582
7,WURTH AUSTRALIA PTY LTD,,"",,1300657765,39764285,"","",2/1 HEALEY ROAD,DANDENONG,VIC,3175,,,,,,,1300 657765 ALLAN WINDER 0418 834 400
8,TOP TYRES AUSTRAILIA PTY LTD,,"",,0738751544,"","","",PO BOX 953,ARCHERFIELD,QLD,4108,,,,,,,1800 809434
9,AG TYRES WHOLESALE,,"",,267524299,267523029,"","",P.O.BOX 1056,MOREE,NSW,2400,,,,,,,1800 028 988      DAVE 0437 772 338
10,COM-PAK PRODUCTS,,"",,738925433,738482042,"","",PO BOX 391 999 IPSWICH ROAD,MOOROOKA,QLD,4105,,,,,,,PAT 0408 637 274
11,METALAND DALBY,,"",,46628377,"","","","",DALBY,QLD,4415,,,,,,,""
12,TYREMAX OFF HIGHWAY,,"",,38129080,38123573,"","",CNR 160 TOONGARRA ROAD & BEIRNE ST,IPSWICH,QLD,4305,,,,,,,1800 453 121
13,CITIC TYRES & WHEELS PTY LTD,,"",,396148000,396147157,"","",LEVEL 7 99 KING STREET,MELBOURNE,VIC,3000,,,,,,,32781400  GREG
14,TYRECORP,,"",,733444177,738751066,"","",P.O. BOX 668,ARCHERFIELD,QLD,4108,,,,,,,""
15,TYREBOYS WHOLESALE,,"",,732744344,732744477,"","",786 BOUNDARY ROAD,COOPERS PLAINS,QLD,4108,,,,,,,1800 111 338
16,AUSTRALIAN TYRE TRADERS,,"",,396874442,396874448,"","",24 SUNSHINE ROAD,WEST FOOTSCRAY,VIC,3012,,,,,,,1300 761 802  A/C  WANTYR
17,FREEDOM TYRES,,"",,0732771126,"","",accounts@freedomtyres.com.au,PO  BOX 224,ARCHERFIELD BC,QLD,4108,,,,,,,1800423188.0
18,Toyo Tyre Australia pty ltd,Neil,"",,287960222,"",409493193,AccountsRec@toyo.com.au,PO Box 5084,MINTO BC,NSW,2566,,,,,,,""
19,BEAUREPAIRES FOR TYRES ROMA,,"",,746222399,746224350,"","",35 HAWTHORN STREET,ROMA,QLD,4455,,,,,,,DES
20,FORDS TYRE SERVICE,,"",,296094688,29725458,"","",PO BOX 6491,WETHERILL PARK,NSW,2164,,,,,,,MOBILE 0428 647 436
21,TYRE & TUBE AUSTRALIA PTY LTD,,"",,288113888,288113891,"","",UNIT 6/17 STANTON ROAD,SEVEN HILLS,NSW,2147,,,,,,,BRISBANE 32555700 1800 451270  A/C NO 261                   SHANE 0413980419
22,KOAST TYRE,,"",,892790777,893771000,"","",PO BOX 3313,BASSENDEAN,WA,6942,,,,,,,ROB 0408 064 327   07 32733400
23,KING WHEELS AUSTRALIA,,"",,732004888,"","","",49 WEAVER ST,COOPERS PLAINS,QLD,4108,,,,,,,""
24,HANKOOK TYRE AUSTRALIA PTY LTD,,"",,298701200,298701201,"","",BUILDING A LEVEL3 TALAVERA ROAD,MACQUARIE PARK,NSW,2113,,,,,,,GREG 0408 993338   1300 133030  A/C 728840
25,TOTAL TYRE SERVICE,,"",,385641100,385641144,"","",80 COLEBARD ST EAST,ACACIA RIDGE,QLD,4110,,,,,,,1300 660 233 A/C 4BFWAN                 REP ANDREW 0409357253
